Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),IPO Status,Acquired by,Acquired by URL,Operating Status,Website,Number of Employees,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Number of Funding Rounds,Top 5 Investors
Kyber Network,https://www.crunchbase.com/organization/kyber-network,"Cryptocurrency, Finance, FinTech, Payments","Singapore, Central Region, Singapore",KyberNetwork is a new system which allows the exchange and conversion of digital assets.,60000000,USD,60000000,Private,,,Active,https://kyber.network/,11-50,,,,Secondary Market,3,"IOSG Ventures, Rockaway Blockchain Fund, Hashed, Kenetic, ICONIUM"
Bambu,https://www.crunchbase.com/organization/bambu,"Artificial Intelligence, Financial Services, FinTech, Information Services, Software, Wealth Management, Web Development","Singapore, Central Region, Singapore",Bambu is a robo-advisor solution provider offering financial and consumer brands.,13400000,USD,13400000,Private,,,Active,https://bambu.co/,101-250,10000000,USD,10000000,Series B,3,"Franklin Templeton Investments, PEAK6 Investments LLC, Wavemaker Partners, Level39, BANSEA"
Altonomy,https://www.crunchbase.com/organization/altonomy,"Financial Services, FinTech","Singapore, Central Region, Singapore","Altonomy is a trading, advisory and asset management firm specializing in cryptocurrency and digital assets.",7000000,USD,7000000,Private,,,Active,https://www.altonomy.com,11-50,7000000,USD,7000000,Seed,1,"Polychain, 7 Blocks"
Zimplistic,https://www.crunchbase.com/organization/zimplistic,"Artificial Intelligence, Consumer Electronics, Cooking, Food Processing, Hardware, Health Care, Machine Learning, Product Design, Robotics, Software","Singapore, Central Region, Singapore",Zimplistic is a product design company inventing intelligent kitchen appliances that promote healthy eating through simplicity & automation.,48500000,USD,48500000,Private,,,Active,http://www.zimplistic.com,101-250,30000000,USD,30000000,Series C,4,"Bosch, Openspace Ventures, Robert Bosch Venture Capital, EDBI, VIR"
Zenyum,https://www.crunchbase.com/organization/zenyum,"Dental, Health Care, Medical","Singapore, Central Region, Singapore",Zenyum provides 3D-printed invisible braces to our patients.,15100000,USD,15100000,Private,,,Active,https://www.zenyum.com/sg-en/,11-50,13600000,USD,13600000,Series A,2,"Sequoia Capital India, RTP Global, Surge, Seeds Capital, TQ Ventures"
Shopmatic,https://www.crunchbase.com/organization/shopmatic,"E-Commerce, Internet","Singapore, Central Region, Singapore",Shopmatic is an e-commerce technology firm.,5700000,USD,5700000,Private,,,Active,http://www.goshopmatic.com,11-50,,,,Corporate Round,2,"MatchMove Pay, August One, Spring SEEDS Capital"
Acala Network,https://www.crunchbase.com/organization/acala-network,"Finance, Financial Services, FinTech","Singapore, Central Region, Singapore",Acala Network is a decentralized finance hub and stablecoin platform powering cross-blockchain liquidity and applications.,8650000,USD,8650000,Private,,,Active,https://acala.network,11-50,7300000,USD,7300000,Series A,2,"Polychain, Digital Currency Group, Pantera Capital, Republic Labs, HashKey Capital"
Zilliqa,https://www.crunchbase.com/organization/zilliqa,"Blockchain, Financial Services, FinTech","Singapore, Central Region, Singapore",Zilliqa is the high-throughput public blockchain platform - designed to scale to thousands ​of transactions per second.,1000000,USD,1000000,Private,,,Active,https://www.zilliqa.com,51-100,,,,Initial Coin Offering,7,"IOSG Ventures, Kenetic, Eden Block, NEO Global Capital (NGC), FBG Capital"
Incomlend,https://www.crunchbase.com/organization/incomlend,"Finance, Financial Services, FinTech, Peer to Peer","Singapore, Central Region, Singapore",Incomlend is an alternative trade finance platform delivering factoring and supply chain finance solutions to companies worldwide.,25000000,USD,25000000,Private,,,Active,https://www.incomlend.com/,11-50,20000000,USD,20000000,Series A,3,"Sequoia Capital India, International Finance Corporation, CMA CGM, GTR Ventures"
Honestbee,https://www.crunchbase.com/organization/honestbee,"Apps, Delivery, E-Commerce, Grocery, Internet","Singapore, Central Region, Singapore",Honestbee provides online concierge grocery delivery services for customers.,46000000,USD,46000000,Private,,,Closed,https://www.honestbee.com/,1001-5000,31000000,USD,31000000,Series A,3,"Pear VC, Steve Chen, EVA Automation, Owen Van Natta, Raven Ventures Australia"
Shiok Meats,https://www.crunchbase.com/organization/shiok-meats,"Food Processing, Seafood","Singapore, Central Region, Singapore",Shiok Meats is a cellular aquaculture and cell-based meat company.,20350000,USD,20350000,Private,,,Active,https://shiokmeats.com/,1-10,12600000,USD,12600000,Series A,5,"Entrepreneur First, Y Combinator, Aqua Spark, Big Idea Ventures, Seeds Capital"
Hmlet,https://www.crunchbase.com/organization/hmlet,"Hospitality, Property Development, Rental, Social Network","Singapore, Central Region, Singapore",Hmlet is a co-living company that offers rooms and full apartments for young working professionals.,48000000,USD,48000000,Private,,,Active,http://www.hmlet.com/,11-50,40000000,USD,40000000,Series B,3,"Sequoia Capital India, Burda Principal Investments, Genesis Alternative Ventures, Reinventure, Mitsubishi Estate"
Igloo,https://www.crunchbase.com/organization/axinan,"Financial Services, FinTech, Insurance, InsurTech","Singapore, Central Region, Singapore",Igloo is an insurtech AI platform that provides insurance accessible through creating digital insurance products.,16000000,USD,16000000,Private,,,Active,https://www.iglooinsure.com,11-50,16000000,USD,16000000,Series A,1,"Partech, Cathay Innovation, Openspace Ventures, Singtel Innov8, Linear Venture"
Bluzelle,https://www.crunchbase.com/organization/bluzelle-networks,"Bitcoin, Blockchain, Database, Information Services, Information Technology, Software","Singapore, Central Region, Singapore","Bluzelle offers a complete and fully integrated stack of blockchain applications, middleware and data services.",22300000,USD,22300000,Private,,,Active,http://bluzelle.com/,11-50,,,,Venture - Series Unknown,7,"Global Brain Corporation, Tribe Accelerator, Kenetic, NEO Global Capital (NGC), KR1"
TenX,https://www.crunchbase.com/organization/tenx-2,"Bitcoin, Cryptocurrency, FinTech, Information Technology","Singapore, Central Region, Singapore",TenX makes any cryptocurrency spendable anytime and anywhere.,125170000,USD,125170000,Private,,,Active,http://www.tenx.tech,51-100,80050000,USD,80050000,Initial Coin Offering,5,"Eden Block, Fenbushi Capital, Asian Cowboy, Alexis Berthoud, Cardinal Capital"
2C2P,https://www.crunchbase.com/organization/2c2p,"E-Commerce, Finance, Financial Services, Payments","Singapore, Central Region, Singapore","2C2P is a global payments platform helping businesses securely accept payments across online, mobile and in-store channels.",70000000,USD,70000000,Private,,,Active,http://www.2c2p.com,251-500,52000000,USD,52000000,Series E,7,"International Finance Corporation, Arbor Ventures, GMO VenturePartners, Cento Ventures, Digital Spring Ventures"
TradeGecko,https://www.crunchbase.com/organization/tradegecko,"Business Intelligence, E-Commerce, Enterprise Software, Payments, Retail, SaaS, Supply Chain Management, Transportation","Singapore, Central Region, Singapore",TradeGecko is an inventory and order management platform for modern wholesale merchants.,17710000,USD,17710000,Private,Intuit,https://www.crunchbase.com/organization/intuit,Active,https://tradegecko.com,101-250,10000000,USD,10000000,Series B,5,"500 Startups, Golden Gate, Wavemaker Partners, Openspace Ventures, JFDI.Asia"
Chope,https://www.crunchbase.com/organization/chope-group,"Hospitality, Internet, Reservations, Restaurants","Singapore, Central Region, Singapore",Chope provides online restaurant reservations service.,24693834,USD,24693834,Private,,,Active,http://www.chope.co,101-250,18000000,SGD,13307260,Series D,4,"DSG Consumer Partners, Openspace Ventures, Square Peg Capital, Susquehanna International Group (SIG), Frontier Ventures"
SHIELD,https://www.crunchbase.com/organization/cashshield,"Artificial Intelligence, Cyber Security, Fraud Detection, Information Technology, Machine Learning, Payments, Risk Management, Security","Singapore, Central Region, Singapore",SHIELD is a mobile-first risk intelligence company. We help world-leading enterprises build trust and safety by stopping fraud and abuse.,25500000,USD,25500000,Private,,,Active,http://shield.com/,51-100,20000000,USD,20000000,Series B,2,"GGV Capital, Temasek Holdings, Wavemaker Partners, Tony Fadell, Tao Zhang"
CapitaLand,https://www.crunchbase.com/organization/capitaland-limited,"Hospitality, Real Estate","Singapore, Central Region, Singapore",CapitaLand is one of Asia’s largest real estate companies.,653668048,USD,653668048,Public,,,Active,http://www.capitaland.com/,10001+,200000000,SGD,146419208,Post-IPO Debt,4,"United Overseas Bank, DBS Bank, HSBC Bank"
Qtum,https://www.crunchbase.com/organization/qtum,"Blockchain, Cryptocurrency, Ethereum","Singapore, Central Region, Singapore",Qtum is an open sourced public blockchain platform.,17000000,USD,17000000,Private,,,Active,https://qtum.org/,11-50,400000,USD,400000,Grant,5,"Hashed, Eden Block, Asian Cowboy, Nirvana Capital, Jeremy Gardner"
Pundi X,https://www.crunchbase.com/organization/pundi-x-labs,"Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology, Payments, Retail Technology, Telecommunications","Singapore, Central Region, Singapore",Pundi X is a blockchain company that's creating a new era of decentralized world to improve your everyday life.,35000000,USD,35000000,Private,,,Active,https://pundix.com/,11-50,,,,Initial Coin Offering,3,"Hashed, Karnika Yashwant, Lon Wong, Michael Schelper, David LEE Kuo Chuen"
Cove,https://www.crunchbase.com/organization/cove-6097,"Communities, Internet, Property Management, Real Estate, Rental, Rental Property, Residential","Singapore, Central Region, Singapore","Cove is Southeast Asia's number 1 co-living company making it easier, faster and more flexible to rent comfortable homes at honest prices.",6700000,USD,6700000,Private,,,Active,https://www.cove.sg,11-50,4600000,USD,4600000,Series A,2,"Antler, Picus Capital, Idinvest Partners, Venturra Capital, Keppel Land"
Holmusk,https://www.crunchbase.com/organization/holmusk,"Analytics, Biotechnology, Electronic Health Record (EHR), Health Care, mHealth, Personal Health, Wellness","Singapore, Central Region, Singapore",Holmusk is a Singapore-based data science and health technology company that aims to reverse chronic disease and behavioral health issues.,31250000,USD,31250000,Private,,,Active,https://holmusk.com,11-50,21500000,USD,21500000,Series A,2,"Optum Ventures, Heritas Capital Management, Health Catalyst Capital, Capikris Foundation"
Crayon Data,https://www.crunchbase.com/organization/crayon-data,"Analytics, Artificial Intelligence, Big Data, E-Commerce, Intelligent Systems, Machine Learning, Personalization, Predictive Analytics, SaaS, Software","Singapore, Central Region, Singapore","Crayon Data is a growing big data and AI startup with a vision to simplify the world’s choices with their personalization engine, maya.ai.",28488400,USD,28488400,Private,,,Active,https://www.crayondata.com,101-250,6400000,USD,6400000,Series A,8,"Openspace Ventures, Seeds Capital, Mitsui & Co, Jungle Ventures, Ravi Thakran"
Grain,https://www.crunchbase.com/organization/grain,"Food and Beverage, Food Delivery, Organic Food, Sustainability","Singapore, Central Region, Singapore",Grain is an online restaurant that uses data and a tech-enabled network to serve food to customers.,14205884,USD,14205884,Private,,,Active,https://grain.com.sg,101-250,10000000,USD,10000000,Series B,4,"500 Startups, Openspace Ventures, DBS Bank, K2 Global, Cento Ventures"
"Love, Bonito",https://www.crunchbase.com/organization/love-bonito,"E-Commerce, Fashion, Lifestyle, Retail, Women's","Singapore, Central Region, Singapore",The largest D2C tech-enabled womenswear brand in Asia with the mission to be the most thoughtful brand for the Modern Asian Woman.,13000000,USD,13000000,Private,,,Active,https://www.lovebonito.com/,101-250,13000000,USD,13000000,Series B,2,"Openspace Ventures, Kakaku.com"
HOOQ,https://www.crunchbase.com/organization/hooq,"Apps, Digital Entertainment, TV","Singapore, Central Region, Singapore","HOOQ is a joint venture start-up, to offer a regional over-thetop (OTT) video service in Asia.",95000000,USD,95000000,Private,Coupang,https://www.crunchbase.com/organization/coupang,Active,http://www.hooq.tv,101-250,25000000,USD,25000000,Venture - Series Unknown,2,"Warner Bros., Singtel, Sony Pictures Entertainment"
Secretlab,https://www.crunchbase.com/organization/secretlab,"Consumer Goods, Hardware, Manufacturing","Singapore, Central Region, Singapore",Secretlab is a Singaporean gaming chair manufacturing company that was founded in 2014,10000000,SGD,7228891,Private,,,Active,https://secretlab.co/,101-250,10000000,SGD,7228891,Series B,1,Heliconia Capital Management
Style Theory,https://www.crunchbase.com/organization/style-theory,"Fashion, Internet, Sharing Economy, Subscription Service","Singapore, Central Region, Singapore",Style Theory is a fashion rental subscription platform that provides economically sustainable fashion choices.,15000000,USD,15000000,Private,,,Active,https://sg.styletheory.co/,101-250,15000000,USD,15000000,Series B,2,"Alpha JWC Ventures, Softbank Ventures Asia, The Paradise Group"
Active.ai,https://www.crunchbase.com/organization/active-ai,"Artificial Intelligence, Financial Services, FinTech, Information Technology","Singapore, Central Region, Singapore",Active.ai is a service platform that connects consumers with their banks via micro conversation.,14750000,USD,14750000,Private,,,Active,http://active.ai/,51-100,,,,Undisclosed,6,"IDG Capital, Vertex Ventures, InnoVen Capital, Kalaari Capital, Chiratae Ventures"
